,gaze_x,gaze_y
184,963,295
185,964,291
186,964,292
187,962,294
188,961,296
189,958,298
190,956,301
191,958,301
192,957,301
193,952,302
194,954,298
195,949,302
196,951,298
197,951,296
198,955,291
199,951,294
200,954,296
201,952,299
202,952,302
203,950,305
204,954,304
205,956,305
206,958,304
207,959,295
208,960,286
209,971,278
210,968,283
211,972,281
212,975,276
213,976,274
214,968,283
215,965,296
216,960,294
217,958,296
218,953,298
219,947,289
220,944,282
221,942,279
222,939,276
223,936,272
224,940,273
225,943,273
226,945,273
227,941,274
228,939,271
229,941,273
230,938,278
231,936,283
232,936,293
233,940,283
234,928,277
235,937,270
236,939,268
237,944,266
238,947,263
239,951,268
240,954,271
241,959,274
242,962,278
243,1066,287
244,1094,300
245,1094,302
246,1093,301
247,1091,301
248,1088,300
249,1083,287
250,1076,286
251,1072,284
252,1068,286
253,1016,288
254,961,285
255,962,290
256,964,297
257,965,299
258,965,301
259,967,314
260,969,306
261,969,308
262,970,309
263,910,430
264,914,508
265,908,530
266,915,513
267,915,511
268,916,511
269,912,516
270,913,515
271,842,545
272,836,485
273,828,482
274,824,485
275,833,495
276,962,369
277,1015,483
278,1014,499
279,1031,363
280,1021,347
281,1024,335
282,1027,322
283,1037,311
284,1032,313
285,867,487
286,735,580
287,698,603
288,726,581
289,740,574
290,739,582
291,735,574
292,727,571
293,730,565
294,764,558
295,916,483
296,1077,462
297,1197,504
298,1143,383
299,1117,317
300,1139,267
301,1135,270
302,1137,262
303,1131,263
304,1116,274
305,1111,273
306,1113,267
307,1111,274
308,1111,277
309,1127,266
310,1046,268
311,1000,284
312,993,287
313,987,296
314,987,300
315,986,304
316,992,294
317,988,299
318,988,304
319,984,307
320,991,293
321,1001,293
322,1001,295
323,1002,292
324,1003,290
325,1004,275
326,802,471
327,647,632
328,607,640
329,544,672
330,585,648
331,597,653
332,570,650
333,561,654
334,580,642
335,576,639
336,549,653
337,564,725
338,730,612
339,750,614
340,757,609
341,762,608
342,766,611
343,767,617
344,786,641
345,789,627
346,781,610
347,768,613
348,763,616
349,749,619
350,884,628
351,1122,597
352,1084,597
353,1059,598
354,1038,598
355,1027,605
356,1017,613
357,1015,615
358,1013,617
359,1019,620
360,1025,623
361,1046,613
362,1062,649
363,1076,646
364,839,617
365,718,607
366,699,612
367,706,609
368,712,609
369,712,612
370,716,612
371,727,601
372,733,606
373,737,608
374,750,605
375,749,611
376,757,615
377,756,619
378,757,616
379,753,615
380,846,648
381,935,479
382,1053,360
383,1081,325
384,1083,304
385,1087,297
386,1082,300
387,1080,305
388,1080,311
389,1079,312
390,1072,310
391,999,293
392,978,285
393,976,288
394,977,288
395,976,289
396,970,290
397,967,293
398,970,297
399,968,294
400,969,294
401,973,296
402,979,295
403,980,292
404,987,290
405,1006,300
406,1089,293
407,1121,290
408,1112,291
409,1107,294
410,1104,295
411,1103,295
412,1092,302
413,1097,296
414,1097,297
415,982,282
416,969,291
417,973,291
418,977,290
419,976,287
420,976,285
421,976,283
422,974,286
423,970,290
424,970,292
425,973,290
426,975,291
427,977,291
428,981,284
429,981,283
430,980,286
431,979,288
432,975,295
433,972,305
434,1023,297
435,1087,303
436,1090,306
437,1089,305
438,1087,305
439,1086,305
440,1085,306
441,1083,308
442,1080,312
443,986,297
444,971,291
445,970,299
446,964,295
447,961,293
448,960,292
449,957,290
450,953,286
451,957,285
452,959,286
453,958,285
454,958,284
455,958,283
456,955,278
457,953,276
458,955,276
459,955,277
460,957,278
461,959,285
462,960,291
463,926,278
464,903,250
465,903,244
466,900,245
467,901,247
468,897,246
469,942,223
470,967,262
471,965,266
472,965,274
473,961,278
474,887,364
475,841,439
476,821,471
477,820,462
478,826,461
479,827,460
480,825,460
481,825,459
482,822,470
483,819,471
484,821,467
485,822,466
486,823,467
487,827,470
488,822,475
489,824,476
490,828,474
491,832,469
492,834,470
493,837,468
494,838,466
495,836,467
496,834,468
497,830,470
498,829,472
499,973,356
500,1031,295
501,1031,290
502,1024,294
503,1018,299
504,1022,296
505,1058,291
506,1077,285
507,1077,289
508,1075,292
509,1008,275
510,962,250
511,948,248
512,951,258
513,953,263
514,948,269
515,949,268
516,944,266
517,943,267
518,947,265
519,956,270
520,957,271
521,963,269
522,970,263
523,971,262
524,973,263
525,974,263
526,975,269
527,975,272
528,976,295
529,976,296
530,977,265
531,973,262
532,969,259
533,960,257
534,955,255
535,953,258
536,951,262
537,951,273
538,951,283
539,953,286
540,951,283
541,949,286
542,947,274
543,943,265
544,940,258
545,945,256
546,951,254
547,956,256
548,957,258
549,961,265
550,962,264
551,975,285
552,1060,278
553,1065,285
554,1069,281
555,1068,281
556,1074,273
557,1074,271
558,1076,268
559,1073,267
560,1072,268
561,1070,268
562,1066,267
563,1063,265
564,1064,268
565,1066,267
566,1069,269
567,1070,275
568,1070,285
569,1067,290
570,1065,293
571,1063,293
572,1051,291
573,951,298
574,935,291
575,936,295
576,936,300
577,942,297
578,943,292
579,945,290
580,944,278
581,950,262
582,956,253
583,957,252
584,960,250
585,962,251
586,959,248
587,953,252
588,957,254
589,958,256
590,959,255
591,959,254
592,959,256
593,953,257
594,942,253
595,937,250
596,938,254
597,943,261
598,946,260
599,952,265
600,954,279
601,954,275
602,948,266
603,946,270
604,945,271
605,946,268
606,948,266
607,956,268
608,964,272
609,966,276
610,969,289
611,969,313
612,970,298
613,960,295
614,953,291
615,957,289
616,950,289
617,944,286
618,944,285
619,943,284
620,937,277
621,936,277
622,939,280
623,942,282
624,945,285
625,959,288
626,962,282
627,960,281
628,957,284
629,960,284
630,957,282
631,957,285
632,959,291
633,961,291
634,984,290
635,1064,298
636,1065,296
637,1065,290
638,1063,289
639,1065,288
640,1063,288
641,1066,286
642,1061,290
643,1064,291
644,1063,290
645,1063,287
646,1059,288
647,1059,289
648,1060,290
649,1057,289
650,1057,287
651,1057,286
652,1057,276
653,1060,271
654,1059,267
655,1061,264
656,1060,267
657,1057,273
658,1056,276
659,1057,282
660,1057,282
661,1057,281
662,1056,281
663,1058,272
664,1060,270
665,1059,271
666,1059,270
667,1060,268
668,1056,273
669,1057,272
670,1056,271
671,1051,273
672,943,291
673,914,279
674,915,280
675,924,286
676,926,283
677,929,274
678,932,273
679,932,278
680,934,279
681,931,281
682,933,281
683,932,276
684,1027,292
685,1049,280
686,1050,280
687,1050,279
688,1050,278
689,1052,278
690,1055,277
691,1055,275
692,1059,267
693,1059,267
694,1059,268
695,1058,267
696,986,326
697,954,330
698,945,289
699,949,288
700,951,291
701,945,278
702,949,280
703,948,280
704,947,280
705,949,278
706,950,277
707,948,275
708,951,282
709,949,280
710,947,273
711,946,269
712,946,265
713,944,259
714,946,265
715,947,266
716,944,268
717,945,268
718,945,269
719,945,267
720,944,270
721,951,275
722,951,278
723,955,281
724,955,269
725,951,264
726,948,262
727,946,258
728,945,258
729,946,262
730,946,264
731,947,265
732,1008,284
733,1042,291
734,1045,291
735,1046,290
736,1048,288
737,1049,289
738,1048,287
739,1049,287
740,1048,292
741,1048,294
742,1050,300
743,1051,299
744,1053,298
745,1056,293
746,1055,287
747,1053,284
748,1052,286
749,1052,289
750,1050,292
751,1050,294
752,1050,299
753,1050,297
754,1052,294
755,1052,293
756,1051,290
757,1049,289
758,1050,291
759,1049,287
760,1050,284
761,1051,283
762,1053,279
763,1051,278
764,1047,283
765,1045,285
766,1046,284
767,1045,284
768,1045,281
769,1045,281
770,1045,282
771,1046,283
772,1044,284
773,1044,283
774,1044,283
775,1044,280
776,1044,278
777,977,255
778,938,260
779,927,260
780,922,261
781,917,262
782,925,270
783,925,283
784,909,248
785,1021,282
786,1044,284
787,1045,287
788,1045,283
789,1043,280
790,1041,280
791,1038,280
792,1037,277
793,1034,277
794,1032,281
795,1028,283
796,1027,284
797,1022,292
798,939,271
799,886,273
800,879,273
801,887,277
802,884,278
803,887,281
804,890,282
805,892,289
806,891,290
807,894,289
808,896,283
809,896,280
810,897,281
811,897,279
812,894,275
813,961,336
814,1002,353
815,1008,312
816,1002,287
817,1000,287
818,997,290
819,992,298
820,993,296
821,993,302
822,994,292
823,994,291
824,924,412
825,850,532
826,818,569
827,823,568
828,856,540
829,870,532
830,875,536
831,729,590
832,717,610
833,730,586
834,739,588
835,757,579
836,787,568
837,810,544
838,820,549
839,816,547
840,777,565
841,770,568
842,803,543
843,815,547
844,811,529
845,804,529
846,808,527
847,800,529
848,829,567
849,903,588
850,910,595
851,910,590
852,910,590
853,909,590
854,908,589
855,907,586
856,905,585
857,904,584
858,902,582
859,901,581
860,900,580
861,899,580
862,908,535
863,908,520
864,912,524
865,911,519
866,903,513
867,900,513
868,898,515
869,896,517
870,898,519
871,906,520
872,906,530
873,909,538
874,903,574
875,866,599
876,717,584
877,672,604
878,674,596
879,682,588
880,673,594
881,680,590
882,691,582
883,693,581
884,697,578
885,709,570
886,711,570
887,719,567
888,816,541
889,856,545
890,858,548
891,858,546
892,858,548
893,856,548
894,856,517
895,862,473
896,866,472
897,863,476
898,859,491
899,858,512
900,853,539
901,853,553
902,878,489
903,878,493
904,884,495
905,883,500
906,884,509
907,884,534
908,881,571
909,880,557
910,886,558
911,885,561
912,882,562
913,883,563
914,882,561
915,876,548
916,1116,243
917,1202,172
918,1168,148
919,1126,204
920,1090,232
921,1087,236
922,1102,213
923,1098,216
924,1092,208
925,1086,212
926,1079,207
927,1068,204
928,1065,202
929,1065,205
930,1064,211
931,1064,216
932,1065,222
933,1065,226
934,1022,331
935,1015,502
936,1009,523
937,1008,526
938,1017,527
939,1024,519
940,1011,552
941,1006,567
942,1002,558
943,999,558
944,998,554
945,1001,551
946,1004,548
947,1009,546
948,1012,544
949,1014,543
950,1019,545
951,1004,545
952,1020,348
953,1064,283
954,1081,197
955,1072,184
956,1068,186
957,1064,196
958,1061,204
959,1060,205
960,1060,202
961,974,296
962,825,247
963,976,219
964,962,198
965,942,220
966,951,224
967,960,208
968,959,202
969,954,192
970,953,181
971,952,183
972,951,186
973,954,187
974,955,192
975,960,201
976,963,206
977,964,211
978,964,216
979,968,221
980,967,230
981,967,230
982,964,230
983,964,236
984,962,238
985,958,229
986,955,229
987,955,228
988,956,224
989,956,222
990,963,211
991,965,209
992,967,205
993,965,202
994,964,201
995,958,215
996,957,212
997,957,215
998,957,216
999,959,212
1000,959,209
1001,961,214
1002,968,184
1003,957,189
1004,952,197
1005,952,197
1006,949,193
1007,946,196
1008,951,206
1009,955,213
1010,956,213
1011,960,220
1012,960,220
1013,957,203
1014,957,201
1015,956,199
1016,956,200
1017,961,205
1018,965,219
1019,967,236
1020,970,249
1021,1004,218
1022,1065,244
1023,1079,215
1024,1076,217
1025,1074,220
1026,1072,230
1027,1070,231
1028,1065,238
1029,1063,240
1030,1061,245
1031,1058,248
1032,1056,248
1033,1057,252
1034,1060,255
1035,1060,256
1036,1066,250
1037,1073,239
1038,1063,251
1039,1027,291
1040,1036,285
1041,1049,277
1042,1077,117
1043,832,179
1044,684,236
1045,447,414
1046,377,158
1047,593,288
1048,645,164
1049,715,272
1050,778,287
1051,822,277
1052,845,279
1053,841,283
1054,829,299
1055,891,291
1056,914,301
1057,912,300
1058,912,379
1059,926,324
1060,926,325
1061,921,342
1062,913,373
1063,907,324
1064,894,305
1065,881,349
1066,874,335
1067,874,334
1068,862,346
1069,855,339
1070,853,314
1071,844,306
1072,850,267
1073,851,267
1074,840,240
1075,896,213
1076,1207,512
1077,1458,500
1078,1502,283
1079,1393,285
1080,1388,231
1081,1301,217
1082,1144,212
1083,1123,294
1084,1047,332
1085,1020,327
1086,1001,334
1087,983,322
1088,981,324
1089,979,329
1090,980,326
1091,979,326
1092,979,331
1093,981,343
1094,982,358
1095,999,322
1096,1008,336
1097,1014,336
1098,991,321
1099,957,360
1100,966,359
1101,977,398
1102,994,339
1103,990,336
1104,999,348
1105,1028,351
1106,1032,355
1107,1033,358
1108,1036,357
1109,1036,357
1110,1111,383
1111,1139,390
1112,1140,388
1113,1132,386
1114,1120,390
1115,1107,393
1116,1120,400
1117,1046,424
1118,934,407
1119,812,432
1120,915,160
1121,950,208
1122,966,272
1123,968,243
1124,963,232
1125,970,248
1126,978,262
1127,988,274
1128,996,281
1129,1000,298
1130,1002,298
1131,1008,297
1132,1012,292
1133,1016,284
1134,1021,281
1135,1021,286
1136,1053,390
1137,1044,481
1138,981,459
1139,1027,465
1140,1024,488
1141,1041,460
1142,946,556
1143,970,617
1144,956,622
1145,923,554
1146,912,557
1147,910,550
1148,913,544
1149,907,560
1150,1040,439
1151,1063,412
1152,1077,401
1153,1087,406
1154,1090,409
1155,1094,424
1156,1091,430
1157,1084,433
1158,1077,427
1159,1071,428
1160,1063,416
1161,1073,433
1162,1083,459
1163,1086,380
1164,1107,386
1165,1106,381
1166,1103,386
1167,1097,372
1168,1038,498
1169,1157,392
1170,961,535
1171,960,558
1172,985,553
1173,1000,516
1174,978,466
1175,722,537
1176,616,637
1177,582,408
1178,613,391
1179,755,354
1180,849,359
1181,910,364
1182,931,280
1183,962,228
1184,967,221
1185,977,201
1186,983,204
1187,984,210
1188,985,223
1189,986,232
1190,978,238
1191,979,242
1192,988,248
1193,990,236
1194,987,235
1195,990,248
1196,988,247
1197,979,247
1198,969,246
1199,967,251
1200,963,254
1201,961,257
1202,959,249
1203,904,245
1204,897,244
1205,898,249
1206,888,254
1207,887,260
1208,889,261
1209,902,257
1210,903,262
1211,912,256
1212,911,249
1213,910,249
1214,918,241
1215,915,238
1216,902,248
1217,922,255
1218,909,279
1219,899,288
1220,878,266
1221,885,212
1222,902,143
1223,902,170
1224,883,210
1225,878,253
1226,867,235
1227,833,299
1228,866,206
1229,917,151
1230,885,216
1231,887,249
1232,892,261
1233,887,260
1234,888,252
1235,889,247
1236,892,245
1237,886,233
1238,887,230
1239,879,228
1240,899,250
1241,880,270
1242,813,259
1243,769,277
1244,978,342
1245,1488,689
1246,1536,803
1247,1475,724
1248,1340,690
1249,1277,631
1250,1473,713
1251,1181,590
1252,1136,557
1253,1169,532
1254,1212,495
1255,1225,457
1256,1230,441
1257,1222,441
1258,1200,492
1259,1046,557
1260,1054,559
1261,1060,559
1262,1232,480
1263,1206,452
1264,1232,487
1265,1326,491
1266,1283,498
1267,1297,518
1268,1230,491
1269,1219,494
1270,1308,442
1271,1347,461
1272,1300,502
1273,1428,559
1274,1503,642
1275,1545,671
1276,1642,604
1277,1634,699
1278,992,653
1279,727,254
1280,665,288
1281,778,305
1282,886,287
1283,977,144
1284,948,244
1285,970,213
1286,966,218
1287,960,224
1288,958,229
1289,963,273
1290,956,286
1291,947,262
1292,1046,149
1293,988,182
1294,971,172
1295,954,183
1296,994,169
1297,940,239
1298,923,265
1299,929,287
1300,928,300
1301,927,300
1302,941,291
1303,948,282
1304,950,277
1305,947,276
1306,945,274
1307,947,287
1308,943,303
1309,941,294
1310,942,296
1311,935,296
1312,935,295
1313,939,296
1314,936,278
1315,920,249
1316,920,206
1317,916,188
1318,917,184
1319,922,171
1320,934,226
1321,959,289
1322,963,317
1323,962,314
1324,961,310
1325,937,237
1326,939,218
1327,573,662
1328,601,783
1329,888,224
1330,936,226
1331,949,256
1332,939,248
1333,922,238
1334,934,228
1335,931,225
1336,922,223
1337,922,223
1338,944,274
1339,961,314
1340,950,320
1341,954,318
1342,954,315
1343,951,314
1344,950,312
1345,955,308
1346,956,302
1347,957,295
1348,959,292
1349,964,293
1350,958,287
1351,968,286
1352,970,287
1353,967,282
1354,964,283
1355,919,293
1356,906,269
1357,912,265
1358,907,262
1359,895,262
1360,892,254
1361,899,241
1362,900,241
1363,906,250
1364,945,255
1365,947,236
1366,942,235
1367,938,236
1368,940,235
1369,951,239
1370,951,321
1371,935,411
1372,940,353
1373,972,227
1374,979,235
1375,984,237
1376,990,244
1377,991,234
1378,991,233
1379,987,232
1380,980,223
1381,978,222
1382,972,222
1383,968,224
1384,966,259
1385,965,232
1386,963,260
1387,955,253
1388,955,251
1389,953,239
1390,950,240
1391,947,244
1392,949,250
1393,944,241
1394,936,238
1395,933,250
1396,933,226
1397,933,220
1398,936,220
1399,945,227
1400,941,235
1401,938,226
1402,936,228
1403,934,235
1404,933,233
1405,943,231
1406,882,509
1407,950,291
1408,940,267
1409,947,218
1410,951,229
1411,957,238
1412,954,240
1413,952,237
1414,950,239
1415,948,239
1416,948,234
1417,947,238
1418,949,247
1419,949,253
1420,949,254
1421,949,261
1422,950,264
1423,956,264
1424,960,263
1425,955,265
1426,951,270
1427,946,274
1428,942,307
1429,968,293
1430,954,311
1431,950,310
1432,949,314
1433,948,318
1434,940,333
1435,944,342
1436,987,410
1437,1131,685
1438,1209,852
1439,1242,1026
1440,841,582
1441,867,310
1442,876,288
1443,918,304
1444,963,298
1445,869,286
1446,844,276
1447,851,276
1448,859,279
1449,866,283
1450,879,282
1451,901,292
1452,904,276
1453,958,278
1454,973,320
1455,988,317
1456,996,312
1457,994,308
1458,997,311
1459,998,319
1460,999,325
1461,1002,325
1462,1007,328
1463,1012,330
1464,1017,327
1465,1019,321
1466,1021,322
1467,1016,319
1468,1017,311
1469,1012,305
1470,1006,302
1471,1003,296
1472,1003,288
1473,998,291
1474,997,290
1475,998,292
1476,998,298
1477,948,332
1478,947,376
1479,944,386
1480,942,373
1481,949,340
1482,947,326
1483,925,263
1484,958,143
1485,950,223
1486,956,254
1487,953,275
1488,956,301
1489,954,308
1490,950,258
1491,948,244
1492,951,236
1493,956,240
1494,965,254
1495,968,249
1496,967,253
1497,964,261
1498,965,254
1499,964,250
1500,963,255
1501,963,255
1502,964,250
1503,961,254
1504,959,252
1505,946,264
1506,932,276
1507,929,276
1508,923,278
1509,925,278
1510,932,277
1511,937,276
1512,940,275
1513,950,274
1514,950,278
1515,946,278
1516,942,280
1517,937,281
1518,903,239
1519,904,230
1520,912,228
1521,908,238
1522,902,230
1523,893,229
1524,885,235
1525,878,258
1526,883,199
1527,876,221
1528,823,193
1529,826,216
1530,855,223
1531,849,212
1532,807,203
1533,775,196
1534,792,163
1535,793,215
1536,830,223
1537,356,768
1538,848,317
1539,734,234
1540,808,149
1541,853,232
1542,854,244
1543,854,252
1544,855,256
1545,863,251
1546,883,274
1547,888,243
1548,892,252
1549,881,242
1550,891,216
1551,898,192
1552,897,175
1553,899,159
1554,898,163
1555,904,176
1556,914,177
1557,918,184
1558,920,200
1559,925,197
1560,905,267
1561,907,238
1562,914,286
1563,933,309
1564,945,328
1565,950,329
1566,953,327
1567,957,327
1568,960,330
1569,961,330
1570,965,331
1571,957,334
1572,772,807
1573,819,660
1574,920,370
1575,943,285
1576,942,280
1577,938,273
1578,943,269
1579,944,270
1580,950,303
1581,962,268
1582,960,270
1583,961,264
1584,960,257
1585,952,269
1586,945,264
1587,944,269
1588,941,257
1589,938,258
1590,937,259
1591,938,261
1592,940,270
1593,940,271
1594,969,257
1595,974,279
1596,965,351
1597,965,295
1598,967,292
1599,967,292
1600,968,291
1601,977,293
1602,981,311
1603,1004,238
1604,984,234
1605,974,251
1606,963,260
1607,963,243
1608,959,236
1609,954,234
1610,948,230
1611,950,226
1612,955,227
1613,954,225
1614,949,225
1615,946,227
1616,960,263
1617,974,308
1618,979,304
1619,981,292
1620,990,325
1621,988,329
1622,955,271
1623,928,201
1624,918,247
1625,922,245
1626,918,246
1627,911,247
1628,917,305
1629,913,322
1630,901,272
1631,897,220
1632,878,202
1633,838,146
1634,848,134
1635,866,136
1636,887,188
1637,876,208
1638,868,240
1639,869,253
1640,886,251
1641,898,238
1642,867,173
1643,845,121
1644,864,42
1645,855,141
1646,868,159
1647,895,196
1648,893,203
1649,838,201
1650,853,206
1651,843,205
1652,864,141
1653,847,152
1654,851,151
1655,845,137
1656,844,140
1657,848,120
1658,849,122
1659,853,131
1660,850,139
1661,832,190
1662,835,206
1663,807,207
1664,840,226
1665,945,211
1666,877,133
1667,845,212
1668,850,251
1669,852,248
1670,858,170
1671,835,205
1672,840,198
1673,821,69
1674,834,204
1675,854,236
1676,848,207
1677,855,213
1678,842,221
1679,848,237
1680,864,210
1681,865,211
1682,868,215
1683,875,217
1684,881,234
1685,885,239
1686,871,323
1687,877,325
1688,895,257
1689,901,258
1690,917,306
1691,901,393
1692,886,424
1693,896,354
1694,896,330
1695,889,323
1696,884,318
1697,883,315
1698,885,312
1699,886,324
1700,893,325
1701,865,196
1702,840,168
1703,819,248
1704,831,234
1705,835,233
1706,842,223
1707,846,224
1708,957,230
1709,1244,454
1710,1490,606
1711,1652,486
1712,1733,259
1713,1611,323
1714,1442,378
1715,1320,416
1716,1345,360
1717,1229,408
1718,1326,273
1719,1218,318
1720,1209,454
1721,1184,365
1722,1121,289
1723,1157,291
1724,1164,291
1725,1170,306
1726,1345,177
1727,1102,90
1728,800,190
1729,831,242
1730,892,231
1731,930,283
1732,953,268
1733,962,268
1734,948,252
1735,934,251
1736,1150,520
1737,1494,465
1738,1345,188
1739,1209,205
1740,1236,188
1741,1152,214
1742,1112,213
1743,1103,223
1744,1088,215
1745,1081,232
1746,1085,239
1747,1084,243
1748,1085,236
1749,1089,230
1750,1088,228
1751,1085,228
1752,1086,229
1753,1093,254
1754,1095,262
1755,1102,261
1756,1100,257
1757,1102,249
1758,1097,245
1759,1089,242
1760,1086,246
1761,1084,233
1762,1083,231
1763,1084,232
1764,1083,234
1765,1092,228
1766,1093,233
1767,1079,213
1768,1074,220
1769,1076,215
1770,1075,219
1771,1078,223
1772,1081,252
1773,1040,273
1774,1028,282
1775,1025,284
1776,1023,288
1777,1025,306
1778,1023,322
1779,1019,339
1780,1022,336
1781,1026,337
1782,1030,350
1783,1036,357
1784,1037,351
1785,1036,348
1786,1031,337
1787,1034,332
1788,1035,328
1789,1035,323
1790,1032,319
1791,1033,320
1792,1030,320
1793,1029,320
1794,1032,320
1795,1036,302
1796,1039,299
1797,1037,298
1798,1037,302
1799,1035,308
1800,1052,281
1801,1060,273
1802,1067,279
1803,1106,230
1804,1088,209
1805,1085,242
1806,1097,240
1807,1093,254
1808,1072,266
1809,1044,291
1810,1005,386
1811,949,513
1812,1010,371
1813,1010,318
1814,1009,308
1815,999,301
1816,1001,297
1817,1022,294
1818,1032,277
1819,1026,277
1820,1031,264
1821,1036,259
1822,1034,258
1823,1027,285
1824,1017,305
1825,1009,313
1826,1015,315
1827,1007,312
1828,1010,321
1829,1015,310
1830,1017,301
1831,1019,298
1832,1023,285
1833,1019,284
1834,1027,278
1835,1032,273
1836,1036,264
1837,1031,229
1838,1054,192
1839,1053,193
1840,1046,195
1841,1039,195
1842,1034,204
1843,1025,220
1844,1014,231
1845,988,218
1846,990,223
1847,994,223
1848,993,224
1849,991,228
1850,988,230
1851,980,235
1852,977,231
1853,981,230
1854,982,231
1855,982,234
1856,984,236
1857,999,225
1858,1004,222
1859,1005,222
1860,1006,220
1861,1001,224
1862,995,217
1863,1017,170
1864,1003,137
1865,956,170
1866,961,139
1867,1006,126
1868,986,146
1869,959,187
1870,1031,195
1871,1267,347
1872,1484,677
1873,1373,736
1874,1481,726
1875,1277,612
1876,1205,615
1877,1164,574
1878,1151,561
1879,1130,543
1880,1216,573
1881,1071,636
1882,1069,633
1883,1238,553
1884,1208,561
1885,1171,530
1886,1216,512
1887,1173,532
1888,1137,547
1889,1170,529
1890,1189,548
1891,1180,540
1892,1181,538
1893,1190,550
1894,1217,540
1895,1239,543
1896,1223,559
1897,1100,481
1898,973,683
1899,726,315
1900,940,239
1901,1007,259
1902,1065,171
1903,1047,216
1904,1042,239
1905,1041,254
1906,1069,227
1907,1085,228
1908,1083,213
1909,1064,245
1910,1062,252
1911,1072,230
1912,1074,223
1913,1073,221
1914,1075,214
1915,1125,215
1916,1111,193
1917,1122,191
1918,1121,189
1919,1112,191
1920,1115,191
1921,1120,194
1922,1110,195
1923,1108,195
1924,1108,193
1925,1100,195
1926,1097,193
1927,1096,192
1928,1093,197
1929,1092,170
1930,1063,200
1931,1051,198
1932,1045,202
1933,1041,210
1934,1041,208
1935,1037,219
1936,1054,216
1937,1067,213
1938,1064,218
1939,1059,227
1940,1062,227
1941,1068,226
1942,1068,231
1943,1048,271
1944,1047,273
1945,1046,276
1946,1045,276
1947,1045,271
1948,1046,269
1949,1047,257
1950,1045,257
1951,1045,257
1952,1044,254
1953,1039,255
1954,1034,267
1955,1030,276
1956,1024,281
1957,1018,295
1958,1017,292
1959,1017,287
1960,1023,283
1961,1021,277
1962,1019,267
1963,1014,278
1964,1011,278
1965,1008,282
1966,1007,286
1967,1007,284
1968,1003,284
1969,1002,286
1970,1000,258
1971,994,224
1972,996,241
1973,1010,226
1974,1019,232
1975,1023,241
1976,1026,241
1977,1023,242
1978,1018,252
1979,992,243
1980,988,225
1981,981,220
1982,988,211
1983,984,252
1984,980,248
1985,985,235
1986,990,232
1987,996,227
1988,998,225
1989,1005,215
1990,1011,210
1991,1014,316
1992,1018,329
1993,1023,332
1994,1020,332
1995,1018,337
1996,1018,342
1997,1018,343
1998,1023,332
1999,1027,328
2000,1028,320
2001,1023,319
2002,1022,317
2003,1017,364
2004,1018,367
2005,1020,366
2006,1027,358
2007,1023,358
2008,1030,356
2009,1027,357
2010,1025,359
2011,1020,360
2012,1018,362
2013,1008,338
2014,1022,292
2015,1014,289
2016,1007,297
2017,1002,301
2018,1000,306
2019,999,322
2020,1008,313
2021,1014,307
2022,1017,312
2023,1022,311
2024,1021,307
2025,987,293
2026,985,292
2027,985,294
2028,985,300
2029,981,302
2030,982,306
2031,983,315
2032,1009,330
